include_digits,feature_extraction,pca,model,val_score,best_params
True,BoW_1,No_PCA,NB,0.8085,{'alpha': 0.1}
True,BoW_1,No_PCA,LR,0.8807,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
True,BoW_1,SVD_200,NB,0.7974,{'alpha': 1.5}
True,BoW_1,SVD_200,LR,0.8399,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
True,BoW_2,No_PCA,NB,0.8519,{'alpha': 0.1}
True,BoW_2,No_PCA,LR,0.8887,"{'C': 0.1, 'max_iter': 200, 'penalty': 'l1', 'solver': 'liblinear'}"
True,BoW_2,SVD_200,NB,0.7452,{'alpha': 2.0}
True,BoW_2,SVD_200,LR,0.8347,"{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}"
True,TF-IDF,No_PCA,NB,0.8055,{'alpha': 0.1}
True,TF-IDF,No_PCA,LR,0.8806,"{'C': 0.1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}"
True,TF-IDF,SVD_200,NB,0.8035,{'alpha': 0.1}
True,TF-IDF,SVD_200,LR,0.8453,"{'C': 10.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
False,BoW_1,No_PCA,NB,0.8112,{'alpha': 0.1}
False,BoW_1,No_PCA,LR,0.8813,"{'C': 0.1, 'max_iter': 200, 'penalty': 'l1', 'solver': 'liblinear'}"
False,BoW_1,SVD_200,NB,0.7983,{'alpha': 1.5}
False,BoW_1,SVD_200,LR,0.84,"{'C': 0.1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
False,BoW_2,No_PCA,NB,0.8531,{'alpha': 0.1}
False,BoW_2,No_PCA,LR,0.8891,"{'C': 0.1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}"
False,BoW_2,SVD_200,NB,0.744,{'alpha': 0.1}
False,BoW_2,SVD_200,LR,0.8336,"{'C': 1.0, 'max_iter': 100, 'penalty': 'l2', 'solver': 'liblinear'}"
False,TF-IDF,No_PCA,NB,0.806,{'alpha': 0.1}
False,TF-IDF,No_PCA,LR,0.8816,"{'C': 0.1, 'max_iter': 300, 'penalty': 'l1', 'solver': 'liblinear'}"
False,TF-IDF,SVD_200,NB,0.8013,{'alpha': 0.5}
False,TF-IDF,SVD_200,LR,0.8434,"{'C': 10.0, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}"
